,T,alpha,ηl,ηv,P,a_assoc_l,a_assoc_v,a_res_l
0,40.0,0.0888,0.39486041853543746,0.0006344385296750835,206173.7495696115,-1.3,-0.5,-6.358529571833873
1,40.0,0.14412,0.39311120851418146,0.0006551247676099179,212812.62616078753,-1.3,-0.5,-6.219269299191948
2,40.0,0.19944,0.3911905685221166,0.0006749803608382109,219179.97212412284,-1.3,-0.5,-6.076539087649609
3,40.0,0.25476,0.38907339253291134,0.0006934173658394009,225088.0607989485,-1.3,-0.5,-5.930068978781436
4,40.0,0.31008,0.38673230063829556,0.0007096914768892974,230299.583611308,-1.3,-0.5,-5.77969470320281
5,40.0,0.3654,0.38414384320505696,0.0007228781803091884,234520.02610631415,-1.3,-0.5,-5.625654175218349
6,40.0,0.42072,0.38131955445820676,0.0007318914611890603,237403.52309896512,-1.3,-0.5,-5.46982161484744
7,40.0,0.47604,0.37848366062892347,0.0007361259596338607,238757.864204528,-1.3,-0.5,-5.322236863253316
8,40.0,0.53136,0.3765210716907846,0.0007446179155617111,241473.22553653966,-1.3,-0.5,-5.215698421123409
9,40.0,0.58668,0.3755316699133985,0.0007910479371200295,256303.88061877326,-1.3,-0.5,-5.149911943617601
10,40.0,0.642,0.37480564772431796,0.000903628649739158,292154.4621201022,-1.3,-0.5,-5.0971147484689725
11,80.0,0.0174,0.3738962806379627,0.001624377115247737,592720.9023197948,-1.3,-0.5,-5.400853536134525
12,80.0,0.08456,0.3715680652125768,0.0016841449987964501,613953.971446815,-1.3,-0.5,-5.268178710654191
13,80.0,0.15172,0.368958192137605,0.0017419439368511426,634448.9276259535,-1.3,-0.5,-5.1315771336850045
14,80.0,0.21888,0.36601641082438674,0.0017958211280636716,653519.087566835,-1.3,-0.5,-4.990735690500794
15,80.0,0.28603999999999996,0.36268726243173727,0.0018432748612628004,670288.3230592024,-1.3,-0.5,-4.845554960738118
16,80.0,0.35319999999999996,0.35892773703920355,0.0018813853279939835,683737.3221812041,-1.3,-0.5,-4.696727165089342
17,80.0,0.42035999999999996,0.35479528222654333,0.0019082414125342418,693204.8066272147,-1.3,-0.5,-4.548037741012648
18,80.0,0.48751999999999995,0.35082106825104925,0.0019354508930815753,702788.5299570565,-1.3,-0.5,-4.415039937597291
19,80.0,0.55468,0.34809926441716393,0.002036990481667604,738478.7069284677,-1.3,-0.5,-4.323971512609649
20,80.0,0.62184,0.34634531686995196,0.0022885552676435742,826398.4835754669,-1.3,-0.5,-4.264048660894953
21,80.0,0.689,0.34485330821433874,0.0026591654464658376,954621.7814840345,-1.3,-0.5,-4.215706952643941
22,120.0,0.00333,0.3496442430087177,0.0033640157687411143,1353906.1864485706,-1.3,-0.5,-4.565852930559092
23,120.0,0.066897,0.346921178524471,0.00346759507965284,1393686.9973247545,-1.3,-0.5,-4.463643680333457
24,120.0,0.130464,0.34387111465221143,0.0035676507368602966,1432007.70599378,-1.3,-0.5,-4.358523388503343
25,120.0,0.194031,0.34043906223276726,0.0036617443730351134,1467949.336980799,-1.3,-0.5,-4.2503806245584865
26,120.0,0.257598,0.33656846328641726,0.003747403634791634,1500588.6804842686,-1.3,-0.5,-4.139374223619747
27,120.0,0.321165,0.3322216691374913,0.0038234957541566916,1529518.2611780264,-1.3,-0.5,-4.026365357948979
28,120.0,0.384732,0.32745656256466477,0.0038949459358805874,1556627.9641403344,-1.3,-0.5,-3.914243252379465
29,120.0,0.448299,0.3226174083933298,0.003987196438984528,1591550.9504289771,-1.3,-0.5,-3.810624597381972
30,120.0,0.511866,0.31839284437101667,0.0041581446306437845,1656031.7874782195,-1.3,-0.5,-3.7269521728425383
31,120.0,0.5754330000000001,0.31506684737830726,0.0044379307721554555,1760909.8038466251,-1.3,-0.5,-3.665045308270015
32,120.0,0.639,0.31230740166032034,0.004789239566014814,1891448.1591636376,-1.3,-0.5,-3.6165815393588394
